"VIRTUAL_TIME","NODE_ID","EVENT_TYPE","GLOBAL_SOURCE","LOCAL_SOURCE","LOCAL_TARGET","GLOBAL_TARGET","X_COOR","Y_COOR","RADIUS","LOST","ERROR","DETAILS"
"1804","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_SENT","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","0",
"1804","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_LOSS","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","1","Cann't find route."
"1805","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","84a25183-c629-4fd0-8fdd-dfdb87265689","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1810","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","9a769188-48b1-4641-a83a-f9fbd73d627f","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1805","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_LOSS","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","1","Cann't find route."
"1805","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"1805","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1805","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"1805","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","","messages.TCMessage","765e579f-6011-42a1-b15b-53e48a873e39","765e579f-6011-42a1-b15b-53e48a873e39","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1810","","messages.TCMessage","765e579f-6011-42a1-b15b-53e48a873e39","9a769188-48b1-4641-a83a-f9fbd73d627f","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"1805","","messages.HelloMessage",,"4265bd37-a4ae-4edd-8bd6-b61c300e7e16","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"1805","","messages.HelloMessage",,"4265bd37-a4ae-4edd-8bd6-b61c300e7e16","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"1805","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_REACH",,"","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1805","765e579f-6011-42a1-b15b-53e48a873e39","DATA_SENT","765e579f-6011-42a1-b15b-53e48a873e39","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","0",
"1805","765e579f-6011-42a1-b15b-53e48a873e39","DATA_LOSS","765e579f-6011-42a1-b15b-53e48a873e39","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","1","Cann't find route."
"1805","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_SENT","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","0",
"1805","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_LOSS","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","1","Cann't find route."
"1805","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_SENT","84a25183-c629-4fd0-8fdd-dfdb87265689","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","0",
"1805","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_LOSS","84a25183-c629-4fd0-8fdd-dfdb87265689","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","1","Cann't find route."
"1805","","messages.TCMessage","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","","",""
"1805","","messages.TCMessage","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"1805","","messages.HelloMessage",,"3ebf95d4-480c-4e98-9761-d6b567f745cc","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1805","","messages.TCMessage","07bfe8ff-3c9f-4c3e-9828-139e91360b42","07bfe8ff-3c9f-4c3e-9828-139e91360b42","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1810","","messages.TCMessage","07bfe8ff-3c9f-4c3e-9828-139e91360b42","9a769188-48b1-4641-a83a-f9fbd73d627f","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"1805","","messages.TCMessage","3ebf95d4-480c-4e98-9761-d6b567f745cc","3ebf95d4-480c-4e98-9761-d6b567f745cc","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"1805","","messages.HelloMessage",,"765e579f-6011-42a1-b15b-53e48a873e39","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"1805","","messages.HelloMessage",,"765e579f-6011-42a1-b15b-53e48a873e39","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"1805","","messages.HelloMessage",,"f444f5cf-bb59-4d66-9cec-2da7c2f7561d","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","","",""
"1805","","messages.HelloMessage",,"f444f5cf-bb59-4d66-9cec-2da7c2f7561d","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"1805","","messages.TCMessage","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","","",""
"1805","","messages.TCMessage","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"1805","","messages.TCMessage","9a769188-48b1-4641-a83a-f9fbd73d627f","9a769188-48b1-4641-a83a-f9fbd73d627f","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"1805","","messages.TCMessage","9a769188-48b1-4641-a83a-f9fbd73d627f","9a769188-48b1-4641-a83a-f9fbd73d627f","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"1805","","messages.TCMessage","9a769188-48b1-4641-a83a-f9fbd73d627f","9a769188-48b1-4641-a83a-f9fbd73d627f","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
